Survey Number,Asset Type,Quantity,Assessed Value,Valued By
108/A,"Tiled dwelling, 62 sq m",1,640000,"Assistant Executive Engineer, PWD"
108/A,"Compound wall, brick, 34 m",34,61200,"Assistant Executive Engineer, PWD"
108/A2,"Coconut trees, bearing",13,62400,"Deputy Director, Horticulture"
109/A,"Tiled dwelling, 62 sq m",1,640000,"Assistant Executive Engineer, PWD"
109/A,"Compound wall, brick, 34 m",34,61200,"Assistant Executive Engineer, PWD"
109/A2,"Coconut trees, bearing",17,81600,"Deputy Director, Horticulture"
109/A2,Borewell with submersible pump,1,142000,"Assistant Executive Engineer, PWD"
110/A,"Tiled dwelling, 62 sq m",1,640000,"Assistant Executive Engineer, PWD"
110/A,"Compound wall, brick, 34 m",34,61200,"Assistant Executive Engineer, PWD"
110/A2,"Coconut trees, bearing",12,57600,"Deputy Director, Horticulture"
110/B,"Tiled dwelling, 62 sq m",1,640000,"Assistant Executive Engineer, PWD"
110/B,"Compound wall, brick, 34 m",34,61200,"Assistant Executive Engineer, PWD"
110/B2,Borewell with submersible pump,1,142000,"Assistant Executive Engineer, PWD"
111/A2,"Coconut trees, bearing",16,76800,"Deputy Director, Horticulture"
112/A2,"Coconut trees, bearing",20,96000,"Deputy Director, Horticulture"
112/A2,Borewell with submersible pump,1,142000,"Assistant Executive Engineer, PWD"
113/A2,"Coconut trees, bearing",15,72000,"Deputy Director, Horticulture"
113/B,"Tiled dwelling, 62 sq m",1,640000,"Assistant Executive Engineer, PWD"
113/B,"Compound wall, brick, 34 m",34,61200,"Assistant Executive Engineer, PWD"
113/B2,Borewell with submersible pump,1,142000,"Assistant Executive Engineer, PWD"
114/A,"Tiled dwelling, 62 sq m",1,640000,"Assistant Executive Engineer, PWD"
114/A,"Compound wall, brick, 34 m",34,61200,"Assistant Executive Engineer, PWD"
114/A2,"Coconut trees, bearing",19,91200,"Deputy Director, Horticulture"
115/A,Open well with 5 HP pump set,1,185000,"Assistant Executive Engineer, PWD"
115/A2,"Coconut trees, bearing",14,67200,"Deputy Director, Horticulture"
115/A2,Borewell with submersible pump,1,142000,"Assistant Executive Engineer, PWD"
115/B,Open well with 5 HP pump set,1,185000,"Assistant Executive Engineer, PWD"
116/A,Open well with 5 HP pump set,1,185000,"Assistant Executive Engineer, PWD"
116/A2,"Coconut trees, bearing",18,86400,"Deputy Director, Horticulture"
116/B,Open well with 5 HP pump set,1,185000,"Assistant Executive Engineer, PWD"
116/B2,Borewell with submersible pump,1,142000,"Assistant Executive Engineer, PWD"
117/A2,"Coconut trees, bearing",13,62400,"Deputy Director, Horticulture"
118/A2,"Coconut trees, bearing",17,81600,"Deputy Director, Horticulture"
118/A2,Borewell with submersible pump,1,142000,"Assistant Executive Engineer, PWD"
119/A2,"Coconut trees, bearing",12,57600,"Deputy Director, Horticulture"
119/B,"Tiled dwelling, 62 sq m",1,640000,"Assistant Executive Engineer, PWD"
119/B,"Compound wall, brick, 34 m",34,61200,"Assistant Executive Engineer, PWD"
119/B2,Borewell with submersible pump,1,142000,"Assistant Executive Engineer, PWD"
120/A2,"Coconut trees, bearing",16,76800,"Deputy Director, Horticulture"
121/A2,"Coconut trees, bearing",20,96000,"Deputy Director, Horticulture"
121/A2,Borewell with submersible pump,1,142000,"Assistant Executive Engineer, PWD"
122/A2,"Coconut trees, bearing",15,72000,"Deputy Director, Horticulture"
122/B,"Tiled dwelling, 62 sq m",1,640000,"Assistant Executive Engineer, PWD"
122/B,"Compound wall, brick, 34 m",34,61200,"Assistant Executive Engineer, PWD"
122/B2,Borewell with submersible pump,1,142000,"Assistant Executive Engineer, PWD"
